PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
3904,Native Riparian Forest,1.1,43.25,9.40,47.36,1038.37,3.75
6115,Tamarisk Woodland,10.41,72.22,26.67,1.11,1038.43,35.47
3300,Native Riparian Forest,1.11,57.52,10.93,31.55,1038.75,3.78
1104,Wet Meadow,2.02,99.49,0.51,0.00,1039.39,6.89
2831,Wet Native Willow Shrubland,2.03,29.22,44.90,25.88,1039.43,6.92
3280,Native Riparian Forest,3.94,52.39,12.18,35.43,1039.45,13.44
4791,Salt Meadow/Dry Grassland,2.39,97.76,2.24,0.00,1039.68,8.15
3417,Native Riparian Forest,6.36,25.35,5.79,68.86,1040.05,21.7
6445,Russian Olive Woodland,0.38,22.95,28.80,48.26,1040.12,1.3
2590,Wet Native Willow Shrubland,0.76,64.11,26.27,9.62,1040.12,2.59
3658,Native Riparian Forest,10.48,18.38,24.66,56.97,1040.2,35.77
5646,Tamarisk Woodland,5.97,81.45,18.32,0.23,1040.26,20.38
1074,Salt Meadow/Dry Grassland,1.1,72.58,21.14,6.28,1040.39,3.75
220,Salt Meadow/Dry Grassland,0.32,71.02,28.21,0.78,1040.4,1.09
5892,Tamarisk Woodland,0.69,0.07,99.04,0.89,1040.43,2.36
4345,Salt Meadow/Dry Grassland,1.5,92.37,5.63,2.01,1040.46,5.12
324,Tamarisk Woodland,1.41,39.41,59.66,0.93,1040.52,4.81
5940,Tamarisk Woodland,7.28,13.49,55.46,31.06,1040.57,24.85
5494,Wet Meadow,0.29,58.61,38.96,2.42,1040.85,0.99
1100,Wet Meadow,2.48,97.79,2.02,0.19,1040.97,8.47
3410,Native Riparian Forest,1.65,33.26,12.05,54.68,1041.21,5.64
5648,Tamarisk Woodland,13.79,84.16,15.84,0.00,1041.34,47.11
6273,Russian Olive Woodland,7.11,40.56,37.17,22.27,1041.4,24.29
5464,Wet Meadow,1.88,93.48,5.34,1.18,1041.58,6.42
753,Tamarisk Woodland,0.56,26.51,53.41,20.08,1041.76,1.91
3252,Native Riparian Forest,37.36,63.79,7.76,28.45,1041.88,127.7
4192,Native Riparian Forest,0.44,31.88,26.97,41.15,1041.92,1.5
4449,Salt Meadow/Dry Grassland,1.53,89.35,10.41,0.24,1042.06,5.23
2856,Wet Native Willow Shrubland,3.86,27.28,62.71,10.02,1042.35,13.2
4565,Salt Meadow/Dry Grassland,0.25,83.93,4.46,11.61,1042.59,0.86
4249,Native Riparian Forest,2.08,10.85,44.59,44.56,1042.74,7.12
4241,Native Riparian Forest,18.84,23.13,48.20,28.67,1042.98,64.47
5824,Tamarisk Woodland,0.35,46.92,35.81,17.27,1043.17,1.2
4790,Salt Meadow/Dry Grassland,4.58,95.19,4.81,0.01,1043.36,15.68
962,Native Riparian Forest,12.45,51.19,20.16,28.66,1043.37,42.62
98,Native Riparian Forest,3.45,35.04,10.78,54.18,1043.56,11.81
4973,Salt Meadow/Dry Grassland,26.03,72.29,26.51,1.21,1043.76,89.14
866,Wet Meadow,1.32,94.79,5.13,0.07,1044.19,4.52
1357,Tamarisk Woodland,1.06,44.00,37.31,18.69,1044.68,3.63
1269,Tamarisk Woodland,3.75,9.95,84.66,5.39,1044.81,12.85
315,Tamarisk Woodland,0.3,55.26,29.25,15.49,1044.96,1.03
1283,Tamarisk Woodland,4.17,2.97,65.04,31.98,1045.01,14.3
5921,Tamarisk Woodland,40.25,14.35,36.04,49.61,1045.02,138
5166,Wet Meadow,12.7,81.29,15.94,2.76,1045.17,43.55
934,Wet Native Willow Shrubland,2.32,23.67,52.58,23.75,1045.52,7.96
4228,Native Riparian Forest,11.04,16.79,7.45,75.76,1045.68,37.88
6138,Tamarisk Woodland,1.65,30.96,68.76,0.29,1045.81,5.66
5285,Wet Meadow,4.2,82.33,17.11,0.56,1046.37,14.42
4662,Salt Meadow/Dry Grassland,0.66,70.87,16.85,12.27,1046.66,2.27
4135,Native Riparian Forest,4.92,66.50,24.36,9.14,1047.57,16.91
3308,Native Riparian Forest,3.86,66.57,21.83,11.60,1047.78,13.27
4984,Salt Meadow/Dry Grassland,1.22,60.36,12.02,27.62,1047.99,4.19
3306,Native Riparian Forest,0.57,57.00,20.27,22.73,1048.12,1.96
5948,Tamarisk Woodland,0.38,2.50,76.79,20.71,1048.2,1.31
6208,Tamarisk Woodland,5.33,12.40,53.11,34.48,1048.23,18.33
4481,Salt Meadow/Dry Grassland,0.52,84.27,8.85,6.87,1048.28,1.79
5891,Tamarisk Woodland,0.28,0.26,98.00,1.74,1048.52,0.96
356,Tamarisk Woodland,4.61,37.73,49.78,12.49,1048.58,15.86
3204,Marsh/Wetland,203.12,91.15,7.72,1.13,1048.65,698.83
1007,Native Riparian Forest,25.28,37.71,10.34,51.95,1048.71,86.98
6088,Tamarisk Woodland,0.88,19.35,64.13,16.53,1048.82,3.03
410,Tamarisk Woodland,1.81,16.75,69.39,13.87,1049.04,6.23
5429,Wet Meadow,2.19,65.77,25.36,8.87,1049.34,7.54
3104,Wet Native Willow Shrubland,7.61,70.31,27.68,2.01,1049.47,26.2
5281,Wet Meadow,0.5,81.64,13.78,4.58,1049.81,1.72
1322,Tamarisk Woodland,4.11,3.13,28.74,68.14,1050.15,14.16
4682,Salt Meadow/Dry Grassland,0.56,72.73,11.20,16.07,1050.33,1.93
6384,Russian Olive Woodland,0.54,8.78,41.11,50.11,1050.85,1.86
6415,Russian Olive Woodland,0.49,13.15,28.85,58.00,1051.04,1.69
2628,Wet Native Willow Shrubland,1.17,66.10,32.53,1.37,1051.05,4.03
6122,Tamarisk Woodland,3.71,60.07,32.99,6.94,1051.22,12.8
4262,Salt Meadow/Dry Grassland,5.91,96.39,2.84,0.77,1051.36,20.39
4200,Native Riparian Forest,4.99,33.07,11.94,54.99,1051.65,17.22
4365,Salt Meadow/Dry Grassland,0.53,84.66,6.60,8.74,1051.67,1.83
3181,Marsh/Wetland,0.53,57.24,33.30,9.46,1052,1.83
6186,Tamarisk Woodland,13.57,74.46,24.49,1.05,1052.08,46.84
5128,Wet Meadow,0.83,95.30,4.70,0.00,1052.13,2.87
3233,Native Riparian Forest,1,58.10,12.13,29.77,1052.46,3.45
130,Salt Meadow/Dry Grassland,3.97,91.31,8.69,0.00,1052.47,13.71
4666,Salt Meadow/Dry Grassland,1,73.85,7.90,18.25,1052.51,3.45
2434,Dry Native Riparian Shrubland,9.71,75.73,24.26,0.01,1052.94,33.54
4921,Salt Meadow/Dry Grassland,1.77,84.88,7.63,7.49,1052.99,6.11
3093,Wet Native Willow Shrubland,5.26,67.88,30.29,1.83,1053.03,18.17
2471,Dry Native Riparian Shrubland,3.72,62.40,34.88,2.72,1053.11,12.85
5343,Wet Meadow,0.6,74.15,20.98,4.87,1053.2,2.07
5821,Tamarisk Woodland,28.32,25.52,38.14,36.34,1053.36,97.87
6493,Russian Olive Woodland,0.45,12.58,60.68,26.74,1053.5,1.56
